LocationId,Project,Country,State,City,Neighbourhood,WeekStartDate,WeekNumber,Day,FaireeId,remaining_avail,Slots_less_than_1hr,Slots_1hr_to_2hr,Slots_more_than_2hr,bookable_hours,utilisation_index,non,effective_bookable_hours,effective_remaining_hours,effective_Slots_less_than_1hr,effective_Slots_1hr_to_2hr,effective_Slots_more_than_2hr
121,Flamingo Point Center Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,TUESDAY,110,3.0,1,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,3.00,1.00,0.00,1.00
17,River Place,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,MONDAY,97,4.5,3,1,0,8.0000000000000000,0.83333333333333333333,1,6.67,3.75,2.50,0.83,0.00
122,Flamingo Point North Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,THURSDAY,137,3.0,2,1,0,8.0000000000000000,0.88888888888888888889,1,7.11,2.67,1.78,0.89,0.00
96,420 Kent Avenue,US,NY,Brooklyn,Williamsburg Polygon,2026-08-02,4,WEDNESDAY,90,2.5,2,1,0,8.0000000000000000,1.00000000000000000000,1,8.00,2.50,2.00,1.00,0.00
111,Brooklyn Crossing,US,NY,Brooklyn,Boerum Hill Polygon,2026-08-02,4,WEDNESDAY,100,3.0,0,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,3.00,0.00,0.00,1.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-02,4,WEDNESDAY,110,2.0,3,0,0,8.0000000000000000,0.54545454545454545455,1,4.36,1.09,1.64,0.00,0.00
134,Livana East Hanover,US,NJ,East Hanover,Chatham / West Orange Polygon,2026-07-26,3,FRIDAY,64,1.5,3,0,0,8.0000000000000000,0.27272727272727272727,1,2.18,0.41,0.82,0.00,0.00
122,Flamingo Point North Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,THURSDAY,118,7.0,0,0,2,8.0000000000000000,0,1,0.00,0.00,0.00,0.00,0.00
91,Alta,US,NY,Queens,Floating NY 1,2026-08-09,1,WEDNESDAY,36,2.5,3,0,0,8.0000000000000000,0.11111111111111111111,1,0.89,0.28,0.33,0.00,0.00
52,330 Angelo Cifelli,US,NJ,Harrison,Harrison Polygon,2026-08-16,2,FRIDAY,15,2.0,4,0,0,8.0000000000000000,0.54545454545454545455,1,4.36,1.09,2.18,0.00,0.00
42,The Ivy,US,NJ,Chatham,Chatham / West Orange Polygon,2026-08-02,4,WEDNESDAY,64,1.0,2,0,0,8.0000000000000000,1.00000000000000000000,1,8.00,1.00,2.00,0.00,0.00
53,The Eddy,US,NJ,Harrison,Harrison Polygon,2026-08-16,2,FRIDAY,15,2.0,4,0,0,8.0000000000000000,0.36363636363636363636,1,2.91,0.73,1.45,0.00,0.00
115,Grove Central Residences,US,FL,Miami,Flow Brickell Polygon,2026-07-26,3,WEDNESDAY,149,1.0,2,0,0,8.0000000000000000,0.35714285714285714286,1,2.86,0.36,0.71,0.00,0.00
205,1 River Place,US,NY,New York,Hell's Kitchen Polygon,2026-08-09,1,TUESDAY,63,3.5,2,1,0,8.0000000000000000,0.71428571428571428571,1,5.71,2.50,1.43,0.71,0.00
120,66 Rockwell Place,US,NY,Brooklyn,Brooklyn Heights Polygon,2026-08-09,1,THURSDAY,77,6.0,0,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,6.00,0.00,0.00,1.00
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,WEDNESDAY,97,4.0,0,2,0,8.0000000000000000,1.00000000000000000000,1,8.00,4.00,0.00,2.00,0.00
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-07-26,3,FRIDAY,97,1.5,2,0,0,8.0000000000000000,0.63636363636363636364,1,5.09,0.95,1.27,0.00,0.00
42,The Ivy,US,NJ,Chatham,Chatham / West Orange Polygon,2026-08-02,4,MONDAY,64,4.0,2,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,4.00,2.00,0.00,1.00
128,250 E Houston,US,NY,New York,Floating NY 2,2026-08-09,1,MONDAY,39,5.5,0,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,5.50,0.00,0.00,1.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,FRIDAY,137,0.5,1,0,0,8.0000000000000000,0.76923076923076923077,1,6.15,0.38,0.77,0.00,0.00
183,1800 North Bayshore Drive,US,FL,Miami,Edgewater Polygon,2026-07-26,3,MONDAY,134,1.0,2,0,0,8.0000000000000000,0.23076923076923076923,1,1.85,0.23,0.46,0.00,0.00
93,Union Channel ,US,NY,Brooklyn,Boerum Hill Polygon,2026-08-09,1,WEDNESDAY,96,2.5,1,1,0,8.0000000000000000,0.54545454545454545455,1,4.36,1.36,0.55,0.55,0.00
195,Flow Brickell,US,FL,Miami,Flow Brickell Polygon,2026-07-26,3,FRIDAY,149,5.5,1,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,5.50,1.00,0.00,1.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,THURSDAY,118,7.0,0,0,2,8.0000000000000000,0,1,0.00,0.00,0.00,0.00,0.00
139,Bay Parc Apartments,US,FL,Miami,Edgewater Polygon,2026-08-09,1,TUESDAY,134,0.5,1,0,0,8.0000000000000000,1.00000000000000000000,1,8.00,0.50,1.00,0.00,0.00
